"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","5344","Login Test with JSON Data: Invalid login @datadriven","chromium","2026-07-20","failed","2026-07-20","","LoginDataDriven.spec.ts","",""
"","6567","Product search test @master @regression","chromium","2026-07-21","passed","2026-07-21","","SearchProduct.spec.ts","",""
"","8042","User login test @master @sanity @regression","chromium","2026-07-21","passed","2026-07-21","","Login.spec.ts","",""
"","24286","execute end-to-end test flow @end-to-end","chromium","2026-07-21","passed","2026-07-21","","EndToEndTest.spec.ts","",""
"","5785","Login Test with CSV Data: Invalid login @datadriven","chromium","2026-07-20","failed","2026-07-20","","LoginDataDriven.spec.ts","",""
"","6117","Login Test with JSON Data: Valid login @datadriven","chromium","2026-07-20","passed","2026-07-20","","LoginDataDriven.spec.ts","",""
"","8747","Add product to cart test @master @regression","chromium","2026-07-21","passed","2026-07-21","","AddToCart.spec.ts","",""
"","4283","Login Test with CSV Data: Valid login @datadriven","chromium","2026-07-20","failed","2026-07-20","","LoginDataDriven.spec.ts","",""
"","26054","User registration test @master @sanity @regression","chromium","2026-07-21","passed","2026-07-21","","AccountRegistration.spec.ts","",""
"","11163","User logout test @master @regression","chromium","2026-07-21","passed","2026-07-21","","Logout.spec.ts","",""
